"case_number","date","year","month","time","date_time","crime_code","crime","block","street","type","beat","command","weapon","motivation","number_of_suspects","suspect","victim_count","victim_other","injury","suspect_race_0","suspect_race_1","suspect_race_2","suspect_sex_0","suspect_sex_1","suspect_sex_2","victim_race_0","victim_race_1","victim_race_2","victim_race_3","victim_sex_0","victim_sex_1","victim_sex_2","victim_sex_3"
"20056454","2020-11-14","2020","11","17:27:00","2020-11-14","594(B)(2)(A)","Vandalism","7300.0","Miramar","Rd","243","Northeastern","Hands, Fists, Feet","Race","1","Unknown","1.0","","None","W","","","M","","","B","","","","F","","",""
"20063994","2021-12-30","2020","12","21:17:00","2021-12-30","242","Battery","8900.0","Miramar","Rd","243","Northeastern","Hands, Fists, Feet","Sexual Orientation","1","Unknown","1.0","","None","W","","","M","","","W","","","","M","","",""
"21002105","2021-01-13","2021","1","18:27:00","2021-01-13","594(B)(1)","Vandalism","1100.0","05th","Av","524","Central","Rocks","Race","1","Known","1.0","Restaurant","None","B","","","M","","","","","","","","","",""
"21002911","2021-01-17","2021","1","09:21:00","2021-01-17","242","Battery","5920.0","Fairmount","Av","321","Eastern","Pepper Spray","Race","1","Known","1.0","","Treated","H","","","M","","","B","","","","M","","",""
"21004084","2021-01-24","2021","1","21:38:00","2021-01-24","594(B)(1)","Vandalism","3900.0","Cleveland","Av","627","Western","Paint","Race","Unk","Unknown","3.0","Church/Bar X 2","None","Unk","","","Unk","","","","","","","","","",""
"21005554","2021-02-02","2021","2","14:00:00","2021-02-02","422.6(B)","Threat","3600.0","6th","Av","627","Western","Unknown","Sexual Orientation","Unk","Unknown","1.0","","None","Unk","","","Unk","","","W","","","","M","","",""
"21005611","2021-02-02","2021","2","23:00:00","2021-02-02","594(B)(2)(A)","Vandalism","3900.0","Cleveland","Av","627","Western","None","Sexual Orientation","Unk","Unknown","1.0","Church","None","Unk","","","Unk","","","","","","","","","",""
"21009928","2021-02-27","2021","2","02:00:00","2021-02-27","422.6(B)","Threat","5500.0","Laramie","Wy","322","Eastern","None","Race","1","Unknown","1.0","","None","W","","","M","","","A","","","","F","","",""
"21010123","2021-02-28","2021","2","12:50:00","2021-02-28","245(A)(1)","Assault","","Emerald Ct/Mission Bl","","122","Northern","Bottle","Race","1","Unknown","3.0","","None","W","","","M","","","B","B","W","","M","M","F",""
"21011307","2021-03-07","2021","3","18:55:00","2021-03-07","417","Threat","2900.0","Lytton","St","612","Western","Gun","Race","1","Unknown","1.0","","None","W","","","M","","","B","","","","M","","",""
"21011861","2021-03-11","2021","3","09:00:19","2021-03-11","594(B)(2)(A)","Vandalism","1400.0","Vacation","Rd","123","Northern","Marker","Race","Unk","Unknown","","City of San Diego","None","Unk","","","Unk","","","","","","","","","",""
"21014159","2021-03-24","2021","3","00:01:00","2021-03-24","422.6(A)","Threat","3600.0","30th ","St","813","MidCity","Letters","Sexual Orientation","Unk","Unknown","3.0","Gay Pride Organization","None","Unk","","","Unk","","","H","W","W","","M","M","M",""
"21014439","2021-03-26","2021","3","09:34:00","2021-03-26","594(B)(1)","Vandalism","6100.0","Rancho Mission","Rd","321","Eastern","None","Religion","1","Known","1.0","Church","None","W","","","M","","","","","","","","","",""
"21014839","2021-03-27","2021","3","00:00:00","2021-03-27","594(B)(2)(A)","Vandalism","10000.0","Baroness","Av","242","Northeastern","Spray Paint","Race","Unk","Unknown","1.0","","None","Unk","","","Unk","","","F","","","","F","","",""
"21016826","2021-04-06","2021","4","18:00:00","2021-04-06","245(A)(1)","Assault","","Sea World/Friars","Dr/Rd","123","Northern","Vehicle","Race","1","Unknown","1.0","","None","W","","","M","","","B","","","","F","","",""
"21017797","2021-04-06","2021","4","19:45:00","2021-04-06","422.6(B)","Vandalism","7600.0","Palmilla","Dr","115","Northern","None","Race","Unk","Unknown","2.0","","None","Unk","","","M","","","B","W","","","M","F","",""
"21016748","2021-04-07","2021","4","12:00:00","2021-04-07","422.6(A)","Threat","3600.0","Rosecrans","St","611","Western","None","Race","1","Unknown","1.0","","None","W","","","M","","","A","","","","F","","",""
